index,split,gated_image,depth_image,class_ids,class_names,models,positions
0,val,val/gated_range_view/0000_c0+3_moving_vessel+small_fishing_boat.png,val/depth_camera_rgb/0000_c0+3_moving_vessel+small_fishing_boat.png,0+3,moving_vessel+fishing_boat,moving_vessel+small_fishing_boat,"moving_vessel:34.57,-0.93,0.42,0.09;small_fishing_boat:30.23,1.66,0.34,-2.03"
1,train,train/gated_range_view/0001_c3_survey_boat.png,train/depth_camera_rgb/0001_c3_survey_boat.png,3,fishing_boat,survey_boat,"survey_boat:32.47,-2.84,0.36,3.02"
2,train,train/gated_range_view/0002_c3_small_fishing_boat.png,train/depth_camera_rgb/0002_c3_small_fishing_boat.png,3,fishing_boat,small_fishing_boat,"small_fishing_boat:22.34,2.94,0.34,1.30"
3,train,train/gated_range_view/0003_c1+0_service_boat+moving_vessel.png,train/depth_camera_rgb/0003_c1+0_service_boat+moving_vessel.png,1+0,service_boat+moving_vessel,service_boat+moving_vessel,"service_boat:25.20,-0.42,0.38,2.84;moving_vessel:42.38,1.85,0.42,1.43"
4,train,train/gated_range_view/0004_c1+2_service_boat+research_platform.png,train/depth_camera_rgb/0004_c1+2_service_boat+research_platform.png,1+2,service_boat+research_platform,service_boat+research_platform,"service_boat:24.72,-3.31,0.38,-0.34;research_platform:32.73,6.07,2.00,-1.87"
5,val,val/gated_range_view/0005_c1+0_service_boat+moving_vessel.png,val/depth_camera_rgb/0005_c1+0_service_boat+moving_vessel.png,1+0,service_boat+moving_vessel,service_boat+moving_vessel,"service_boat:25.63,-2.39,0.38,2.68;moving_vessel:24.68,2.87,0.42,0.81"
6,train,train/gated_range_view/0006_c2_research_platform.png,train/depth_camera_rgb/0006_c2_research_platform.png,2,research_platform,research_platform,"research_platform:51.88,-7.08,2.00,0.45"
7,train,train/gated_range_view/0007_c0+1_moving_vessel+service_boat.png,train/depth_camera_rgb/0007_c0+1_moving_vessel+service_boat.png,0+1,moving_vessel+service_boat,moving_vessel+service_boat,"moving_vessel:22.44,-1.08,0.42,1.80;service_boat:34.22,2.68,0.38,-1.46"
8,train,train/gated_range_view/0008_c3+0_survey_boat+moving_vessel.png,train/depth_camera_rgb/0008_c3+0_survey_boat+moving_vessel.png,3+0,fishing_boat+moving_vessel,survey_boat+moving_vessel,"survey_boat:30.99,-3.82,0.36,-0.84;moving_vessel:27.20,4.60,0.42,-0.15"
9,train,train/gated_range_view/0009_c2_research_platform.png,train/depth_camera_rgb/0009_c2_research_platform.png,2,research_platform,research_platform,"research_platform:38.06,3.77,2.00,-1.31"
