epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,6.88111,3.955,5.81325,4.48915,0,0,0,0,3.32286,5.70813,4.1587,0.00039,0.00013,0.00039,0.00013,0.00039,0.00013,0.00039,0.00013
2,8.55335,3.61183,6.18309,4.54732,0,0,0,0,3.32074,5.71269,4.15866,0.000801981,0.000267327,0.000801981,0.000267327,0.000801981,0.000267327,0.000801981,0.000267327
3,10.0736,3.72863,5.73027,4.5914,0,0,0,0,3.31889,5.7176,4.1588,0.00120565,0.000401882,0.00120565,0.000401882,0.00120565,0.000401882,0.00120565,0.000401882
4,11.5628,3.73984,6.19135,4.63456,0,0,0,0,3.31754,5.72155,4.15902,0.00160099,0.000533665,0.00160099,0.000533665,0.00160099,0.000533665,0.00160099,0.000533665
5,13.0193,3.83012,5.92653,4.53147,0,0,0,0,3.31664,5.72524,4.15932,0.00198803,0.000662676,0.00198803,0.000662676,0.00198803,0.000662676,0.00198803,0.000662676
6,14.5736,3.61748,5.66965,4.4659,0,0,0,0,3.31523,5.72974,4.16001,0.00236675,0.000788915,0.00236675,0.000788915,0.00236675,0.000788915,0.00236675,0.000788915
7,15.9994,3.79165,5.70539,4.38049,0,0,0,0,3.31489,5.73098,4.16051,0.00273715,0.000912382,0.00273715,0.000912382,0.00273715,0.000912382,0.00273715,0.000912382
8,17.4567,3.70229,5.57499,4.39785,0,0,0,0,3.31446,5.73412,4.16187,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,18.9182,3.82442,5.67391,4.3777,0,0,0,0,3.31458,5.73621,4.16325,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,20.384,3.87457,5.78802,4.38385,0,0,0,0,3.31373,5.74044,4.16378,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,21.818,3.45632,5.64082,4.32179,0,0,0,0,3.31361,5.7435,4.16456,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,23.2833,3.89718,5.61848,4.37273,0,0,0,0,3.30941,5.76539,4.1678,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,24.7413,3.29459,5.8248,4.01815,0,0,0,0,3.30674,5.7944,4.17134,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,26.2086,3.18627,5.68372,4.0085,0,0,0,0,3.2883,5.79898,4.18201,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,27.6458,3.60935,5.41141,4.29509,6e-05,0.01075,3e-05,1e-05,3.28704,5.82267,4.17455,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,29.1688,3.69115,5.57571,4.30182,3e-05,0.00641,2e-05,0,3.28868,5.80617,4.16907,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
17,30.6213,3.7124,5.46664,4.28275,0.00021,0.04074,0.0011,0.00014,3.29105,5.81113,4.17576,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,32.1042,3.71892,5.56016,4.24734,0.00033,0.0648,0.00675,0.00093,3.29446,5.78317,4.19562,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
19,33.5474,3.60717,5.6732,4.28606,0.00041,0.08093,0.01316,0.00265,3.29359,5.78206,4.21977,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
20,35.0256,3.62473,5.59573,4.235,0.00075,0.16372,0.00113,0.00027,3.30182,5.77823,4.23736,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119
21,36.4977,3.66424,5.37208,4.26852,0.00076,0.17264,0.00102,0.00023,3.25604,5.79946,4.28489,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
