epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2.35171,3.70691,5.87413,5.05075,0,0,0,0,3.47379,5.55402,4.15907,0.00051,0.00017,0.00051,0.00017,0.00051,0.00017,0.00051,0.00017
2,4.44083,3.86899,5.83911,5.0892,0,0,0,0,3.47264,5.55723,4.15951,0.00103961,0.000346535,0.00103961,0.000346535,0.00103961,0.000346535,0.00103961,0.000346535
3,6.48028,3.77923,5.86407,4.93517,0,0,0,0,3.47183,5.56093,4.16026,0.00155852,0.000519506,0.00155852,0.000519506,0.00155852,0.000519506,0.00155852,0.000519506
4,8.49258,3.86579,5.55442,4.86956,0,0,0,0,3.47165,5.56684,4.16201,0.00206674,0.000688913,0.00206674,0.000688913,0.00206674,0.000688913,0.00206674,0.000688913
5,10.4699,3.8327,5.56488,4.7909,0,0,0,0,3.47222,5.57142,4.16363,0.00256427,0.000854756,0.00256427,0.000854756,0.00256427,0.000854756,0.00256427,0.000854756
6,12.6099,3.6707,5.41785,4.64525,0,0,0,0,3.47455,5.57847,4.16715,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,14.5644,3.7002,5.33533,4.57148,0,0,0,0,3.4762,5.58218,4.16981,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,16.5354,3.77294,5.24331,4.49983,0,0,0,0,3.47437,5.58667,4.17153,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,18.4957,3.69769,5.11227,4.42386,0,0,0,0,3.46108,5.59658,4.16939,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,20.4874,3.7226,5.01559,4.41363,0,0,0,0,3.4203,5.57668,4.14685,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
