epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4.42459,3.79648,6.60885,4.68678,0,0,0,0,3.04313,6.08187,4.16052,0.00069,0.00023,0.00069,0.00023,0.00069,0.00023,0.00069,0.00023
2,6.60654,3.67664,6.34445,4.72011,0,0,0,0,3.04617,6.09302,4.16264,0.00139604,0.000465347,0.00139604,0.000465347,0.00139604,0.000465347,0.00139604,0.000465347
3,8.76741,3.64894,6.22537,4.61948,0,0,0,0,3.04905,6.1033,4.16516,0.00208783,0.000695942,0.00208783,0.000695942,0.00208783,0.000695942,0.00208783,0.000695942
4,10.7849,3.74965,6.24081,4.47093,0,0,0,0,3.05126,6.11166,4.16755,0.00276535,0.000921785,0.00276535,0.000921785,0.00276535,0.000921785,0.00276535,0.000921785
5,12.8211,3.8062,6.11284,4.49008,0,0,0,0,3.05366,6.12088,4.16982,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,14.8783,3.82306,6.17228,4.36392,0,0,0,0,3.05484,6.13363,4.17007,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,16.9099,3.73441,5.92041,4.33611,0,0,0,0,3.05058,6.16857,4.1685,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,18.9484,3.55469,5.87613,4.29115,0,0,0,0,3.04087,6.17646,4.15938,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,20.9919,3.7834,5.79986,4.28215,0,0,0,0,2.97071,6.10925,4.13744,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,23.0343,3.72643,5.7972,4.2529,0,0,0,0,2.90683,6.03271,4.12285,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,25.066,3.83171,5.83827,4.23652,0,0,0,0,2.92543,5.97169,4.13754,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,27.103,3.76518,5.85009,4.23059,5e-05,0.01389,0.00017,3e-05,2.94552,6.00027,4.14049,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,29.1378,3.59704,5.58572,4.1997,0.00016,0.04167,0.00017,5e-05,2.92469,5.97675,4.12073,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,31.1831,3.36352,5.70106,4.20819,0.0005,0.09496,0.0011,0.00025,2.87207,6.0694,4.0595,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,33.2255,3.64791,5.75495,4.20045,0.00073,0.11639,0.01333,0.00263,2.799,6.14741,4.04557,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
