epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2.52643,3.97775,6.68818,4.20842,0,0,0,0,3.42278,6.23628,4.16067,0.00051,0.00017,0.00051,0.00017,0.00051,0.00017,0.00051,0.00017
2,4.22466,3.72045,6.54187,4.18251,0,0,0,0,3.42358,6.24559,4.16249,0.00103961,0.000346535,0.00103961,0.000346535,0.00103961,0.000346535,0.00103961,0.000346535
3,5.86851,3.88944,6.5736,4.18333,0,0,0,0,3.42411,6.25504,4.16428,0.00155852,0.000519506,0.00155852,0.000519506,0.00155852,0.000519506,0.00155852,0.000519506
4,7.49963,3.59868,6.44136,4.18085,0,0,0,0,3.42457,6.26803,4.16615,0.00206674,0.000688913,0.00206674,0.000688913,0.00206674,0.000688913,0.00206674,0.000688913
5,9.05531,3.76154,6.22138,4.17666,0,0,0,0,3.42468,6.27495,4.16668,0.00256427,0.000854756,0.00256427,0.000854756,0.00256427,0.000854756,0.00256427,0.000854756
6,10.6584,3.75039,6.2455,4.17021,0,0,0,0,3.42412,6.28929,4.1656,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,12.2427,3.89202,6.3758,4.18274,0,0,0,0,3.42305,6.29733,4.16327,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,13.8119,3.7926,6.41707,4.15234,0,0,0,0,3.42109,6.30118,4.16107,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,15.3751,3.84225,6.26845,4.1579,0,0,0,0,3.41793,6.30167,4.1569,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,16.9777,3.66813,6.15447,4.15114,0,0,0,0,3.40978,6.29194,4.15053,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,18.5628,3.68986,6.19481,4.15068,0,0,0,0,3.39966,6.27525,4.14442,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,20.1375,3.61198,6.15566,4.13413,0,0,0,0,3.39375,6.25163,4.13855,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,21.7045,3.61015,6.14029,4.14201,0,0,0,0,3.37872,6.23075,4.13451,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,23.3177,3.9933,6.49851,4.12646,0,0,0,0,3.34441,6.19603,4.12294,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,24.9016,3.69182,6.20634,4.10497,0,0,0,0,3.31084,6.17141,4.10485,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,26.4774,3.76663,6.30549,4.09541,0,0,0,0,3.25715,6.11119,4.08676,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
