epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2.49433,3.55639,8.25246,5.62641,0,0,0,0,3.87873,6.47585,4.16147,0.00051,0.00017,0.00051,0.00017,0.00051,0.00017,0.00051,0.00017
2,4.18426,3.66013,7.57428,5.51664,0,0,0,0,3.87985,6.48519,4.16418,0.00103961,0.000346535,0.00103961,0.000346535,0.00103961,0.000346535,0.00103961,0.000346535
3,5.82659,3.50767,7.2354,5.51388,0,0,0,0,3.87995,6.49656,4.16732,0.00155852,0.000519506,0.00155852,0.000519506,0.00155852,0.000519506,0.00155852,0.000519506
4,7.46277,3.66212,7.71498,5.46637,0,0,0,0,3.88186,6.5057,4.17185,0.00206674,0.000688913,0.00206674,0.000688913,0.00206674,0.000688913,0.00206674,0.000688913
5,9.02136,3.64655,7.45928,5.20983,0,0,0,0,3.88344,6.51197,4.17496,0.00256427,0.000854756,0.00256427,0.000854756,0.00256427,0.000854756,0.00256427,0.000854756
6,10.6255,3.65944,7.39766,5.12027,0,0,0,0,3.88528,6.52254,4.18054,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,12.2021,3.41194,6.68856,4.92829,0,0,0,0,3.88639,6.52525,4.18445,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,13.7745,3.42227,6.79404,4.77601,0,0,0,0,3.88579,6.52774,4.1876,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,15.3345,3.81811,6.78908,4.79601,0,0,0,0,3.8734,6.55704,4.18634,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,16.9465,3.53223,6.69797,4.74504,0,0,0,0,3.83744,6.67257,4.14469,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,18.5179,3.40362,6.3923,4.51203,0,0,0,0,3.69427,6.75739,4.07876,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,20.0938,3.47966,6.39205,4.57787,0.00015,0.05,0.0001,1e-05,3.59873,6.89805,4.01669,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,21.6509,3.37276,5.9881,4.44041,0.00044,0.1,0.00176,0.00032,3.41618,6.81367,4.05675,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,23.253,3.48198,6.40659,4.34834,0.00066,0.1375,0.00213,0.00044,3.37492,6.8732,4.01931,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,24.8313,3.57797,6.44658,4.29807,0.0009,0.20417,0.00953,0.00261,3.23814,6.73625,3.9377,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,26.4137,3.56825,6.24024,4.31032,0.00068,0.18333,0.00449,0.00125,3.26598,6.63603,3.90171,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
17,27.9698,3.47671,5.80546,4.25022,0.00112,0.31932,0.0159,0.00406,3.30141,6.46705,3.8799,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,29.5849,3.48038,6.09165,4.26868,0.00137,0.29583,0.01658,0.00368,3.23022,6.52077,3.91798,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
19,31.153,3.29687,5.84482,4.17266,0.36297,0.1,0.02388,0.00649,3.21915,6.52401,3.79484,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
20,32.74,3.35502,6.09582,4.16745,0.01392,0.10417,0.0188,0.00545,3.20166,6.56423,3.80523,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119
21,34.3104,3.31875,5.64964,4.13817,0.35203,0.03333,0.0207,0.00472,3.00859,6.34126,3.76421,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
22,35.9104,3.26095,5.78663,4.14117,0.21331,0.06667,0.06788,0.02001,2.92668,5.8952,3.76111,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921
23,37.4927,3.08675,5.14324,3.99115,0.23046,0.11667,0.0675,0.02107,2.77385,5.83557,3.74966,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
24,39.0759,3.22869,5.42177,4.03081,0.28743,0.22917,0.12264,0.02998,2.78607,5.88614,3.69786,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723
25,40.6479,3.09112,5.34636,4.06022,0.66393,0.18333,0.1214,0.03333,2.68341,5.6384,3.58315,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
26,42.2556,2.98639,5.18499,3.9289,0.51061,0.26247,0.21947,0.05342,2.57573,5.41332,3.53954,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
27,43.8486,3.08457,5.2101,3.96627,0.29692,0.2875,0.20419,0.06271,2.50142,5.53761,3.54921,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
28,45.4332,2.92212,4.91879,3.89561,0.78949,0.15868,0.25025,0.08727,2.54349,5.27078,3.50323,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327
29,47.0112,2.95176,4.81127,3.88631,0.30726,0.36972,0.2394,0.08934,2.55466,5.30165,3.44038,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
30,48.6258,2.96249,5.16246,3.81861,0.52139,0.29956,0.26066,0.09782,2.4541,4.99838,3.45314,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,50.2087,2.85441,4.85039,3.74874,0.71465,0.16316,0.21263,0.09205,2.30443,4.97354,3.44562,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,51.7847,2.83262,4.83937,3.70882,0.73804,0.2,0.21913,0.08518,2.26153,4.89675,3.40656,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,53.3486,2.8744,4.43352,3.65365,0.75428,0.19177,0.26202,0.11482,2.19663,4.83618,3.3364,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,54.9666,2.69035,4.47522,3.66036,0.84616,0.20557,0.29256,0.12539,2.09999,4.79592,3.35868,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,56.5467,2.81031,4.48272,3.63159,0.83154,0.25417,0.33944,0.13583,2.07149,4.6602,3.28868,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,58.1294,2.68197,4.56126,3.62208,0.70588,0.31098,0.33487,0.13974,2.17747,4.35399,3.21877,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,59.7036,2.82147,4.22385,3.50542,0.61628,0.34432,0.3574,0.14605,2.13335,4.2954,3.17984,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,61.317,2.71422,4.28329,3.55995,0.49793,0.38105,0.37018,0.16737,2.0607,4.58847,3.16521,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,62.9055,2.84054,4.21888,3.41477,0.69668,0.38333,0.37429,0.17755,2.01215,4.37719,3.12894,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,64.4852,2.67354,4.15234,3.42235,0.55331,0.41198,0.37562,0.17257,1.99788,4.23026,3.08644,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,66.0669,2.59631,3.99285,3.37117,0.52122,0.37683,0.37651,0.18761,2.02184,4.24742,3.03896,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
