epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3.01907,3.85566,7.68473,6.15614,0,0,0,0,3.61013,6.10276,4.16266,0.00069,0.00023,0.00069,0.00023,0.00069,0.00023,0.00069,0.00023
2,5.23676,3.65443,7.25189,5.91455,0,0,0,0,3.61585,6.11706,4.16743,0.00139604,0.000465347,0.00139604,0.000465347,0.00139604,0.000465347,0.00139604,0.000465347
3,7.41511,3.73822,6.99116,5.5795,0,0,0,0,3.6217,6.13093,4.17285,0.00208783,0.000695942,0.00208783,0.000695942,0.00208783,0.000695942,0.00208783,0.000695942
4,9.58338,3.73206,6.97569,5.36787,0,0,0,0,3.626,6.14356,4.17802,0.00276535,0.000921785,0.00276535,0.000921785,0.00276535,0.000921785,0.00276535,0.000921785
5,11.6737,3.70612,6.41847,5.04395,0,0,0,0,3.63072,6.15765,4.18314,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,13.7721,3.49277,6.24757,4.81254,0,0,0,0,3.6346,6.16761,4.18625,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,15.8777,3.72472,6.13963,4.70954,0,0,0,0,3.59587,6.20355,4.16227,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,17.9675,3.59912,6.07746,4.53182,0,0,0,0,3.46774,6.27324,4.12078,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,20.0666,3.71753,5.78185,4.43482,0.00105,0.18899,0.0122,0.00303,3.22682,6.04727,4.12178,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,22.1616,3.57642,5.50186,4.36335,0.40884,0.06399,0.0477,0.01538,3.18844,5.90422,4.09732,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,24.267,3.70962,5.7622,4.27219,0.64262,0.10425,0.06457,0.01689,3.0783,5.71588,4.09862,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
12,26.3911,3.54151,5.61781,4.23658,0.47953,0.09077,0.07204,0.02456,3.06847,5.43907,4.076,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,28.5131,3.58119,5.0083,4.1549,0.26578,0.1131,0.07421,0.02657,2.97561,5.23206,4.04103,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,30.6537,3.36265,5.38331,4.17628,0.39697,0.10268,0.06238,0.01959,2.90356,5.31964,4.05048,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,32.7531,3.36759,4.97662,4.12433,0.44643,0.11756,0.09021,0.02543,2.92772,4.93829,3.95068,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,34.8518,3.25211,4.97884,4.04226,0.48771,0.11607,0.12502,0.03556,2.76863,4.87685,3.91219,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
